codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
122;90;12654;05110.004470/2018-56;2019/07/18 15:18:29.000000000;2018/10/30 00:00:00.000;2018/11/01 00:00:00.000;2018/11/13 00:00:00.000;2018/11/30 00:00:00.000;1                                                                                                                                                                                                                                                              
123;90;17265;05110.004448/2018-14;2019/07/18 15:18:29.000000000;2018/12/06 00:00:00.000;;2018/12/11 00:00:00.000;2018/12/26 00:00:00.000;1                                                                                                                                                                                                                                                              
124;90;9582;05110.004462/2018-18;2019/07/18 15:18:29.000000000;2018/10/31 00:00:00.000;2018/11/01 00:00:00.000;2018/11/13 00:00:00.000;2018/11/14 00:00:00.000;1                                                                                                                                                                                                                                                              
125;90;10534;05110.004463/2018-54;2019/07/18 15:18:29.000000000;2018/10/31 00:00:00.000;2018/11/01 00:00:00.000;2018/11/29 00:00:00.000;2018/11/30 00:00:00.000;0                                                                                                                                                                                                                                                              
126;90;309;05110.004492/2018-16;2019/07/18 15:18:29.000000000;2018/11/05 00:00:00.000;2018/11/05 00:00:00.000;;;0                                                                                                                                                                                                                                                              
127;90;7555;05110.004490/2018-27;2019/07/18 15:18:29.000000000;2018/11/05 00:00:00.000;2018/11/05 00:00:00.000;2018/11/13 00:00:00.000;2018/11/14 00:00:00.000;1                                                                                                                                                                                                                                                              
128;91;10643;05110.004489/2018-01;2019/07/18 15:18:29.000000000;2018/11/05 00:00:00.000;2018/11/05 00:00:00.000;2018/11/15 00:00:00.000;2018/11/23 00:00:00.000;1                                                                                                                                                                                                                                                              
129;91;247;05110.004535/2018-63;2019/07/18 15:18:29.000000000;2018/11/05 00:00:00.000;2018/11/09 00:00:00.000;;2018/11/09 00:00:00.000;0                                                                                                                                                                                                                                                              
130;90;15767;05110.004541/2018-11;2019/07/18 15:18:29.000000000;2018/11/09 00:00:00.000;2018/11/09 00:00:00.000;2018/12/18 00:00:00.000;2018/12/19 00:00:00.000;0                                                                                                                                                                                                                                                              
233;90;5441;05110.000887/2019-21;2019/07/18 15:18:29.000000000;2019/02/07 00:00:00.000;2019/03/11 00:00:00.000;2019/03/28 00:00:00.000;2019/04/02 00:00:00.000;1                                                                                                                                                                                                                                                              
234;90;9609;05110.004583/2018-51;2019/07/18 15:18:29.000000000;2018/11/09 00:00:00.000;2018/11/14 00:00:00.000;2018/11/29 00:00:00.000;2018/12/04 00:00:00.000;1                                                                                                                                                                                                                                                              
235;90;9888;05110.004588/2018-84;2019/07/18 15:18:29.000000000;2018/11/13 00:00:00.000;2018/11/14 00:00:00.000;2018/11/29 00:00:00.000;2018/12/10 00:00:00.000;1                                                                                                                                                                                                                                                              
236;90;3882;05110.004018/2018-94;2019/07/18 15:18:29.000000000;2018/09/26 00:00:00.000;2018/09/26 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;0                                                                                                                                                                                                                                                              
237;90;7543;05110.004632/2018-56;2019/07/18 15:18:29.000000000;2018/11/19 00:00:00.000;2018/11/19 00:00:00.000;2018/12/05 00:00:00.000;2018/12/07 00:00:00.000;1                                                                                                                                                                                                                                                              
238;91;1702;05110.004585/2018-41;2019/07/18 15:18:29.000000000;2018/11/09 00:00:00.000;2018/11/14 00:00:00.000;2019/02/19 00:00:00.000;2019/03/07 00:00:00.000;1                                                                                                                                                                                                                                                              
239;90;6356;05110.004830/2018-10;2018/12/04 10:59:00.000000000;2018/11/03 00:00:00.000;2018/12/04 00:00:00.000;2018/12/18 00:00:00.000;2018/12/26 00:00:00.000;1                                                                                                                                                                                                                                                              
240;91;1108;05110.004699/2018-91;2019/07/18 15:18:29.000000000;2018/11/23 00:00:00.000;2018/11/23 00:00:00.000;2018/11/23 00:00:00.000;2019/01/02 00:00:00.000;1                                                                                                                                                                                                                                                              
241;90;350;05110.004779/2018-46;2019/07/18 15:18:29.000000000;2018/11/23 00:00:00.000;2018/11/29 00:00:00.000;2019/12/05 00:00:00.000;2019/12/12 00:00:00.000;1                                                                                                                                                                                                                                                              
242;90;309;05110.004608/2018-17;2019/07/18 15:18:29.000000000;2018/11/16 00:00:00.000;2018/11/16 00:00:00.000;2018/12/05 00:00:00.000;2018/12/05 00:00:00.000;1                                                                                                                                                                                                                                                              
